"","color","director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","genres","actor_1_name","movie_title","num_voted_users","cast_total_facebook_likes","actor_3_name","facenumber_in_poster","plot_keywords","movie_imdb_link","num_user_for_reviews","language","country","content_rating","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes"
"4609","Color","Amat Escalante",87,105,50,8,"Andrea Vergara",327,NA,"Crime|Drama|Romance","Kenny Johnston","Heli ",3499,351,"Gabriel Reyes",0,"corrupt police|drug cartel|drugs|mexico|police","http://www.imdb.com/title/tt2852376/?ref_=fn_tt_tt_1",15,"Spanish","Mexico","Not Rated",1e+06,2013,9,6.8,1.85,0
"303","Color","Spike Jonze",333,101,0,279,"Ryan Corr",925,77222184,"Adventure|Drama|Family|Fantasy","Catherine O'Hara","Where the Wild Things Are ",87677,1738,"Max Records",0,"based on children's book|creature|igloo|imagination|king","http://www.imdb.com/title/tt0386117/?ref_=fn_tt_tt_1",388,"English","Germany","PG",1e+08,2009,468,6.8,2.35,11000
"3144","Color","Mark Rosman",65,100,15,804,"Chris Noth",1000,16247775,"Comedy|Family|Romance","Ben Feldman","The Perfect Man ",23527,4789,"Vanessa Lengies",3,"e mail|moving|perfect man|secret admirer|suitor","http://www.imdb.com/title/tt0380623/?ref_=fn_tt_tt_1",104,"English","USA","PG",2.5e+07,2005,962,5.5,1.85,767
"2993","Color","Paolo Sorrentino",280,172,667,70,"Sabrina Ferilli",211,2835886,"Drama","Toni Servillo","The Great Beauty ",55516,456,"Serena Grandi",2,"genitalia|male frontal nudity|male nudity|old age|party","http://www.imdb.com/title/tt2358891/?ref_=fn_tt_tt_1",124,"Italian","Italy","Not Rated",9200000,2013,98,7.7,2.35,29000
"1828","Color","Joel Schumacher",78,112,541,638,"Philip Seymour Hoffman",22000,4485485,"Comedy|Crime|Drama","Robert De Niro","Flawless ",14612,46022,"Chris Bauer",1,"gay interest|gay lead character|gay republican|homosexual|neighbor","http://www.imdb.com/title/tt0155711/?ref_=fn_tt_tt_1",105,"English","USA","R",1.5e+07,1999,22000,6.4,1.85,0
"1083","Color","Phillip Noyce",47,117,176,308,"Polly Walker",11000,83287363,"Action|Thriller","Harrison Ford","Patriot Games ",81442,12757,"Patrick Bergin",1,"analyst|cia|ira|terrorist|terrorist attack","http://www.imdb.com/title/tt0105112/?ref_=fn_tt_tt_1",137,"English","USA","R",4.5e+07,1992,530,6.9,2.35,0
"282","Color","Peter Chelsom",62,104,23,591,"Warren Beatty",752,6712451,"Comedy|Romance","Del Zamora","Town & Country ",4102,3133,"Garry Shandling",0,"anniversary|architect|cellist|friend|hardware store","http://www.imdb.com/title/tt0141907/?ref_=fn_tt_tt_1",89,"English","New Line","R",9e+07,2001,631,4.4,1.85,53
"1261","Color","Diane Keaton",82,94,0,235,"Celia Weston",374,36037909,"Comedy|Drama","Adam Arkin","Hanging Up ",10132,1238,"Jesse James",3,"actress|clown costume|magazine|party planner|soap opera actress","http://www.imdb.com/title/tt0162983/?ref_=fn_tt_tt_1",130,"English","Germany","PG-13",6e+07,2000,258,4.7,1.85,390
"4930","Color","Ken Roht",NA,109,0,26,"Joe Lev",270,NA,"Drama","Charla Cochran","Perfect Cowboy ",8,364,"Sienna Beckman",3,"country singer|father son relationship|music group","http://www.imdb.com/title/tt3581098/?ref_=fn_tt_tt_1",NA,"English","USA","",2e+05,2014,54,7,NA,65
"2283","Color","Matt Reeves",390,116,198,884,"Dylan Minnette",17000,12134420,"Drama|Fantasy|Horror|Mystery","Chloë Grace Moretz","Let Me In ",92237,20258,"Kodi Smit-McPhee",0,"blood|boy|night|school|vampire","http://www.imdb.com/title/tt1228987/?ref_=fn_tt_tt_1",366,"English","UK","R",2e+07,2010,1000,7.2,2.35,25000
"3250","Color","Paul Schrader",75,106,261,520,"Ayelet Zurer",30000,NA,"Drama|War","Veronica Ferres","Adam Resurrected ",3075,31325,"Derek Jacobi",2,"circus|dog|entertainer|holocaust|patient","http://www.imdb.com/title/tt0479341/?ref_=fn_tt_tt_1",31,"English","Germany","R",1e+07,2008,744,6.3,2.35,589
"13","Color","Marc Forster",403,106,395,393,"Mathieu Amalric",451,168368427,"Action|Adventure","Giancarlo Giannini","Quantum of Solace ",330784,2023,"Rory Kinnear",1,"action hero|attempted rape|bond girl|official james bond series|revenge","http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1",1243,"English","UK","PG-13",2e+08,2008,412,6.7,2.35,0
"153","Color","Barry Sonnenfeld",208,88,188,826,"Rosario Dawson",10000,190418803,"Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi","Will Smith","Men in Black II ",270207,14823,"Rip Torn",2,"alien|lingerie|lingerie model|m.i.b.|pug","http://www.imdb.com/title/tt0120912/?ref_=fn_tt_tt_1",606,"English","USA","PG-13",1.4e+08,2002,3000,6.1,1.85,2000
"2232","Color","William Brent Bell",112,75,19,806,"Frankie Muniz",1000,23078294,"Horror|Thriller","Adam Goldberg","Stay Alive ",25870,3590,"Samaire Armstrong",0,"countess|game reality crossover|ghost|group of friends|tower","http://www.imdb.com/title/tt0441796/?ref_=fn_tt_tt_1",281,"English","USA","PG-13",9e+06,2006,934,5.1,2.35,0
"4227","Color","William Friedkin",138,104,607,109,"Fernando Rey",813,NA,"Action|Crime|Drama|Thriller","Roy Scheider","The French Connection ",82476,1196,"Tony Lo Bianco",0,"crime boss|drug smuggling|heroin|mafia boss|organized crime","http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1",280,"English","USA","R",1800000,1971,165,7.8,1.85,0
"2599","Color","Gérard Krawczyk",40,94,7,17,"Ryôko Hirosue",235,81525,"Action|Comedy|Crime|Drama|Thriller","Carole Bouquet","Wasabi ",29392,303,"Michel Muller",1,"french|inheritance|japan|letter|police detective hero","http://www.imdb.com/title/tt0281364/?ref_=fn_tt_tt_1",91,"French","France","R",15300000,2001,46,6.6,2.35,0
"4569","Color","Don Coscarelli",260,92,152,124,"Ossie Davis",1000,NA,"Comedy|Fantasy|Mystery","Daniel Roebuck","Bubba Ho-Tep ",38893,1587,"Ella Joyce",2,"cult film|elvis|elvis presley|nursing home|texas","http://www.imdb.com/title/tt0281686/?ref_=fn_tt_tt_1",366,"English","USA","R",1e+06,2002,282,7.2,1.85,0
"3323","Color","Emily Young",19,103,6,664,"Erika Christensen",4000,NA,"Drama|Romance","Sarah Michelle Gellar","Veronika Decides to Die ",10100,6426,"Jonathan Tucker",1,"boyfriend girlfriend relationship|female protagonist|letter of resignation|mental hospital|sex","http://www.imdb.com/title/tt1068678/?ref_=fn_tt_tt_1",42,"English","USA","R",9e+06,2009,931,6.5,2.35,3000
"2718","Color","Woody Allen",218,92,11000,386,"Michael McKean",860,5306447,"Comedy|Romance","Larry David","Whatever Works ",58967,2717,"Conleth Hill",1,"atheist|limp|quantum mechanics|religion|runaway","http://www.imdb.com/title/tt1178663/?ref_=fn_tt_tt_1",169,"English","USA","PG-13",1.5e+07,2009,658,7.2,1.85,10000
"701","Color","Daniel Lee",68,103,10,7,"Peng Lin",21,72413,"Action|Adventure|Drama|History","Si Won Choi","Dragon Blade ",11584,58,"Sung-jun Yoo",3,"child fugitive|final battle|martial art|silk road|sword","http://www.imdb.com/title/tt3672840/?ref_=fn_tt_tt_1",86,"Mandarin","China","R",6.5e+07,2015,18,6.1,2.35,0
"808","Color","David Koepp",181,107,192,280,"Olivia Munn",40000,7605668,"Action|Comedy|Mystery|Romance","Johnny Depp","Mortdecai ",47320,42683,"Ulrich Thomsen",2,"art dealer|fake painting|macguffin|moustache|stolen painting","http://www.imdb.com/title/tt3045616/?ref_=fn_tt_tt_1",188,"English","UK","R",6e+07,2015,2000,5.5,2.35,12000
"3509","Color","Mitch Davis",27,113,7,35,"Nathaniel Lees",11000,4720371,"Adventure|Biography|Drama","Anne Hathaway","The Other Side of Heaven ",3203,11116,"Miriama Smith",2,"1950s|idaho|love|missionary|mormon","http://www.imdb.com/title/tt0250371/?ref_=fn_tt_tt_1",85,"English","USA","PG",7e+06,2001,43,6.5,1.85,650
"4749","Color","Marius A. Markevicius",26,89,6,8,"Greg Speirs",14,133778,"Documentary|Sport","Tommy Sheppard","The Other Dream Team ",3086,44,"Mickey Hart",1,"basketball|basketball team|grateful dead|lithuanian|olympics","http://www.imdb.com/title/tt1606829/?ref_=fn_tt_tt_1",9,"English","USA","Not Rated",5e+05,2012,9,8.4,NA,0
"2826","Color","Philip Kaufman",132,124,133,170,"Stephen Marcus",14000,7060876,"Biography|Drama","Kate Winslet","Quills ",44795,14726,"Amelia Warner",1,"asylum|lust|male pubic hair|penis|pubic hair","http://www.imdb.com/title/tt0180073/?ref_=fn_tt_tt_1",314,"English","UK","R",13500000,2000,230,7.4,1.85,0
"2015","Color","Teddy Chan",65,100,3,55,"Charlie Yeung",79,129115,"Action|Drama","Siu-Wong Fan","Kung Fu Killer ",5900,285,"Wai-Keung Lau",2,"fight|kung fu|martial arts|police|wire fu","http://www.imdb.com/title/tt2952602/?ref_=fn_tt_tt_1",26,"Cantonese","China","",2.5e+07,2014,68,6.5,2.35,0
"1787","Color","Michael Ritchie",21,89,23,899,"Francis Capra",1000,8119205,"Comedy|Family|Fantasy","Mara Wilson","A Simple Wish ",4288,5535,"Kathleen Turner",3,"8 year old|convention|magic|magic wand|male fairy godmother","http://www.imdb.com/title/tt0120133/?ref_=fn_tt_tt_1",21,"English","USA","PG",2.8e+07,1997,937,5.4,1.85,517
"2309","Color","Mike Leigh",103,154,608,149,"Dexter Fletcher",1000,6201757,"Biography|Comedy|Drama|History|Music|Musical","Jim Broadbent","Topsy-Turvy ",10037,1690,"Lesley Manville",1,"19th century|exhibition|gilbert and sullivan|gilbert and sullivan's princess ida|japanese","http://www.imdb.com/title/tt0151568/?ref_=fn_tt_tt_1",202,"English","UK","R",1e+07,1999,452,7.4,1.66,608
"3213","Color","Richard Kwietniowski",82,104,23,232,"Minnie Driver",22000,1011054,"Crime|Drama|Thriller","Philip Seymour Hoffman","Owning Mahowny ",10585,23513,"Maury Chaykin",1,"bank|bank fraud|bank manager|gambling|toronto","http://www.imdb.com/title/tt0285861/?ref_=fn_tt_tt_1",83,"English","Canada","R",1e+07,2003,893,7.2,2.35,0
"3405","Color","Nigel Cole",163,113,13,594,"Robbie Kay",5000,1094798,"Biography|Comedy|Drama|History","Bob Hoskins","Made in Dagenham ",11158,7692,"Sally Hawkins",6,"equal pay|machinist|minister|protest|sex","http://www.imdb.com/title/tt1371155/?ref_=fn_tt_tt_1",73,"English","UK","R",7200000,2010,629,7.2,2.35,0
"2030","Color","Bonnie Hunt",106,115,597,597,"Jim Belushi",893,32662299,"Comedy|Drama|Romance","Minnie Driver","Return to Me ",16469,3946,"Bonnie Hunt",1,"heart|italian restaurant|restaurant|transplant|waitress","http://www.imdb.com/title/tt0122459/?ref_=fn_tt_tt_1",275,"English","USA","PG",2.4e+07,2000,854,6.9,1.85,0
"2086","Color","Andy Fickman",112,110,99,835,"Kyra Sedgwick",12000,90636983,"Comedy|Family|Sport","Dwayne Johnson","The Game Plan ",44021,15170,"Madison Pettis",0,"family relationships|football movie|publicist|sports team|tween girl","http://www.imdb.com/title/tt0492956/?ref_=fn_tt_tt_1",83,"English","USA","PG",2.2e+07,2007,941,6.2,2.35,0
"314","Color","Pitof",212,87,26,566,"Christopher Heyerdahl",827,40198710,"Action|Crime|Fantasy|Romance|Thriller","Frances Conroy","Catwoman ",87451,3144,"Alex Borstein",0,"based on cult comic book|bechdel test passed|cat|detective|radical transformation","http://www.imdb.com/title/tt0327554/?ref_=fn_tt_tt_1",660,"English","USA","PG-13",1e+08,2004,825,3.3,2.35,0
"4230","Color","Danny Steinmann",160,92,13,17,"Melanie Kinnaman",42,21300000,"Horror|Mystery|Thriller","Tiffany Helm","Friday the 13th: A New Beginning ",22521,170,"Dominick Brascia",0,"jason voorhees|murder|new jersey|nightmare|teenager","http://www.imdb.com/title/tt0089173/?ref_=fn_tt_tt_1",342,"English","USA","R",2200000,1985,27,4.7,1.85,1000
"3714"," Black and White","David Lynch",117,124,0,452,"Anne Bancroft",12000,NA,"Biography|Drama","Anthony Hopkins","The Elephant Man ",161972,13864,"Dexter Fletcher",1,"curiosity|exploitation|freak|hospital|physical deformity","http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1",356,"English","USA","PG",5e+06,1980,754,8.2,2.35,9000
"1191","Color","Sam Taylor-Johnson",362,129,456,716,"Luke Grimes",1000,166147885,"Drama|Romance","Jennifer Ehle","Fifty Shades of Grey ",220020,4585,"Callum Rennie",0,"female frontal nudity|female nudity|perversion|sex scene|spanking","http://www.imdb.com/title/tt2322441/?ref_=fn_tt_tt_1",1360,"English","USA","R",4e+07,2015,935,4.1,2.35,101000
"825","Color","Paul W.S. Anderson",253,97,545,529,"Boris Kodjoe",14000,60128566,"Action|Adventure|Horror|Sci-Fi","Milla Jovovich","Resident Evil: Afterlife ",131447,16098,"Shawn Roberts",1,"alaska|female gunfighter|mutation|ship|siege","http://www.imdb.com/title/tt1220634/?ref_=fn_tt_tt_1",410,"English","Germany","R",6e+07,2010,1000,5.9,2.35,19000
"666","Color","Renny Harlin",74,124,212,369,"Leon",13000,84049211,"Action|Adventure|Thriller","Sylvester Stallone","Cliffhanger ",96096,15229,"Janine Turner",1,"money|mountain|rocky mountains|snow|suitcase","http://www.imdb.com/title/tt0106582/?ref_=fn_tt_tt_1",172,"English","USA","R",7e+07,1993,730,6.4,2.35,0
"1803","Color","",7,42,NA,535,"Mary Elizabeth Mastrantonio",766,NA,"Crime|Drama|Sci-Fi|Thriller","Colin Salmon","Limitless             ",38177,2707,"Jake McDorman",2,"brain capacity|fbi|fictional drug|intelligence|taking a pill","http://www.imdb.com/title/tt4422836/?ref_=fn_tt_tt_1",131,"English","USA","TV-14",NA,NA,638,7.9,16,11000
"694","Color","Baltasar Kormákur",361,121,175,221,"Martin Henderson",963,43247140,"Adventure|Biography|Drama|History|Sport|Thriller","Michael Kelly","Everest ",134625,2131,"Tom Goodman-Hill",0,"blizzard|mount everest|mountain|mountain climbing|snow","http://www.imdb.com/title/tt2719848/?ref_=fn_tt_tt_1",265,"English","UK","PG-13",5.5e+07,2015,580,7.1,2.35,40000
"3824","Color","Eli Roth",303,93,0,581,"Takashi Miike",1000,47277326,"Horror","Jay Hernandez","Hostel ",138814,2990,"Rick Hoffman",0,"bratislava|hostel|sadistic horror|torture|travel","http://www.imdb.com/title/tt0450278/?ref_=fn_tt_tt_1",1516,"English","USA","R",4800000,2005,1000,5.9,2.35,0
"1509","Color","Roland Joffé",10,109,596,282,"Alice Englert",621,NA,"Action|Adventure|Romance|Sci-Fi","Tamsin Egerton","The Lovers ",2138,1980,"Bipasha Basu",3,"1770s|british india|great barrier reef|india|ring","http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1",15,"English","Belgium","R",NA,2015,525,4.5,NA,677
"4845","Color","Paul Bartel",164,80,43,668,"David Carradine",13000,NA,"Action|Comedy|Sci-Fi|Sport","Sylvester Stallone","Death Race 2000 ",19875,14950,"Martin Kove",0,"cult director|cult film|drive in classic|psychotronic|race","http://www.imdb.com/title/tt0072856/?ref_=fn_tt_tt_1",147,"English","USA","R",3e+05,1975,926,6.2,1.85,0
"454","Color","Seth Gordon",141,88,91,982,"Robert Duvall",4000,120136047,"Comedy|Drama|Romance","Jon Favreau","Four Christmases ",48500,9913,"Katy Mixon",2,"airport|christmas|news broadcast|tv broadcast|tv news","http://www.imdb.com/title/tt0369436/?ref_=fn_tt_tt_1",124,"English","Germany","PG-13",8e+07,2008,3000,5.6,1.85,0
"4166","Color","John Ford",27,109,673,359,"Cesar Romero",756,NA,"Adventure|Comedy|Romance","Lee Marvin","Donovan's Reef ",5786,1949,"Jack Warden",1,"falling into water|medical doctor|priest|roof leak|swimming in the ocean","http://www.imdb.com/title/tt0057007/?ref_=fn_tt_tt_1",65,"English","USA","Not Rated",2686585,1963,370,6.9,1.85,573
"2175","Color","Steve McQueen",597,134,0,500,"Scoot McNairy",2000,56667870,"Biography|Drama|History","Quvenzhané Wallis","12 Years a Slave ",439176,4251,"Taran Killam",0,"racism|separation from family|social injustice|torture|whipping","http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1",695,"English","USA","R",2e+07,2013,660,8.1,2.35,83000
"37","Color","Michael Bay",366,150,0,464,"Kevin Dunn",894,402076689,"Action|Adventure|Sci-Fi","Glenn Morshower","Transformers: Revenge of the Fallen ",323207,3218,"Ramon Rodriguez",0,"autobot|decepticon|machine|sun|symbol","http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1",1439,"English","USA","PG-13",2e+08,2009,581,6,2.35,0
"3785","Color","Jeremy Saulnier",322,95,57,233,"Mark Webber",727,3219029,"Crime|Horror|Music|Thriller","Alia Shawkat","Green Room ",28845,1836,"Joe Cole",0,"murder|neo nazi|punk band|skinhead|suspense","http://www.imdb.com/title/tt4062536/?ref_=fn_tt_tt_1",125,"English","USA","R",5e+06,2015,442,7.1,2.35,10000
"834","Color","",26,22,NA,676,"Noureen DeWulf",883,NA,"Comedy|Romance","Barry Corbin","Anger Management             ",26992,4115,"Brian Austin Green",1,"anger management|argument|irony|sarcasm|therapist","http://www.imdb.com/title/tt1986770/?ref_=fn_tt_tt_1",54,"English","USA","",NA,NA,701,6.7,16,0
"1053","Color","James Mangold",295,122,446,600,"Logan Lerman",23000,53574088,"Adventure|Crime|Drama|Western","Christian Bale","3:10 to Yuma ",237872,33548,"Gretchen Mol",1,"outlaw|rancher|small western town|stagecoach|train","http://www.imdb.com/title/tt0381849/?ref_=fn_tt_tt_1",560,"English","USA","R",5.5e+07,2007,8000,7.8,2.35,0
"1276","Color","Sam Weisman",62,90,39,210,"Valerie Perri",607,28535768,"Comedy","Oliver Hudson","The Out-of-Towners ",10446,1335,"Carlease Burke",2,"job interview|manhattan new york city|new york city|remake|sausage","http://www.imdb.com/title/tt0129280/?ref_=fn_tt_tt_1",105,"English","USA","PG-13",4e+07,1999,322,5.3,1.85,279
"2866","Color","Daisy von Scherler Mayer",23,84,18,744,"Jada Pinkett Smith",1000,8026971,"Comedy|Romance","LL Cool J","Woo ",1520,3352,"Dave Chappelle",0,"blind date|law clerk|love|manhattan new york city|world trade center manhattan new york city","http://www.imdb.com/title/tt0120531/?ref_=fn_tt_tt_1",20,"English","USA","R",1.3e+07,1998,851,3.8,NA,204
"237","Color","George Lucas",359,140,0,4000,"Christopher Lee",20000,380262555,"Action|Adventure|Fantasy|Sci-Fi","Natalie Portman","Star Wars: Episode III - Revenge of the Sith ",520104,44042,"Hayden Christensen",4,"elongated cry of no|friends become enemies|kicked in the butt|robotic midwife|vision","http://www.imdb.com/title/tt0121766/?ref_=fn_tt_tt_1",3286,"English","USA","PG-13",1.13e+08,2005,16000,7.6,2.35,10000
"2253","Color","Michael J. Bassett",173,95,83,206,"Deborah Kara Unger",991,17529157,"Adventure|Drama|Horror|Mystery|Thriller","Radha Mitchell","Silent Hill: Revelation 3D ",49888,2173,"Martin Donovan",0,"18th birthday|alternate reality|introduction|nightmare|on the run","http://www.imdb.com/title/tt0938330/?ref_=fn_tt_tt_1",220,"English","France","R",2e+07,2012,494,5,2.35,25000
"1951","Color","Troy Nixey",298,99,24,155,"Alan Dale",3000,24042490,"Fantasy|Horror|Thriller","Bailee Madison","Don't Be Afraid of the Dark ",40776,3744,"Jack Thompson",1,"basement|creature|disappearance|interior designer|mansion","http://www.imdb.com/title/tt1270761/?ref_=fn_tt_tt_1",250,"English","USA","R",2.5e+07,2010,441,5.6,1.85,10000
"4306","Color","Jugal Hansraj",6,93,32,24,"Sanjay Mishra",532,55202,"Animation|Comedy|Family|Romance","Saif Ali Khan","Roadside Romeo ",922,653,"Javed Jaffrey",0,"india|love|love at first sight|mumbai india|reference to edward scissorhands","http://www.imdb.com/title/tt1050739/?ref_=fn_tt_tt_1",17,"Hindi","India","PG",NA,2008,85,5.3,2.35,39
"383","Color","Tony Scott",142,114,12000,307,"Stephen Dillane",11000,26871,"Action|Crime|Thriller","Brad Pitt","Spy Game ",121259,12499,"Catherine McCormack",2,"china|cia|cold war|friendship|retirement","http://www.imdb.com/title/tt0266987/?ref_=fn_tt_tt_1",361,"English","Germany","R",9.2e+07,2001,577,7,2.35,0
"260","Color","Michel Gondry",447,119,1000,741,"Tom Wilkinson",11000,98780042,"Action|Comedy|Crime|Sci-Fi|Thriller","Christoph Waltz","The Green Hornet ",136019,13391,"Chad L. Coleman",0,"heir|kung fu|party|playboy|superhero","http://www.imdb.com/title/tt0990407/?ref_=fn_tt_tt_1",443,"English","USA","PG-13",1.2e+08,2011,1000,5.8,2.35,14000
"4416","Color","Fabián Bielinsky",94,114,44,7,"Gastón Pauls",827,1221261,"Crime|Drama|Thriller","Ricardo Darín","Nine Queens ",38215,856,"Leticia Brédice",0,"con artist|hotel|partner|scam|stamp","http://www.imdb.com/title/tt0247586/?ref_=fn_tt_tt_1",125,"Spanish","Argentina","R",1500000,2000,22,7.9,1.85,0
"271","Color","Peter Jackson",297,171,0,857,"Orlando Bloom",16000,313837577,"Action|Adventure|Drama|Fantasy","Christopher Lee","The Lord of the Rings: The Fellowship of the Ring ",1238746,22342,"Billy Boyd",2,"elf|hobbit|middle earth|quest|ring","http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1",5060,"English","New Zealand","PG-13",9.3e+07,2001,5000,8.8,2.35,21000
"764","Color","Jean-Pierre Jeunet",223,116,0,672,"Michael Wincott",1000,47748610,"Action|Horror|Sci-Fi","Gary Dourdan","Alien: Resurrection ",170179,3090,"Raymond Cruz",0,"alien|blood|breeding|clone|scientist","http://www.imdb.com/title/tt0118583/?ref_=fn_tt_tt_1",656,"English","USA","R",7.5e+07,1997,720,6.3,2.35,0
